"pid","location","yearbuilt","totval","bedrooms","bathrooms","halfbaths"
1,"51 SOUTH END RD",NA,"1256500",NA,NA,NA
2,"75 SOUTH END RD",NA,"562100",NA,NA,NA
3,"199 SOUTH END RD","1950","208100",3,2,1
4,"11 URIAH ST","1989","202900",3,2,1
5,"181 SOUTH END RD","1945","164300",3,1,0
6,"169 SOUTH END RD","1940","150400",3,1,0
7,"173 SOUTH END RD","1986","184700",5,2,0
8,"165 SOUTH END RD","1940","135800",3,1,1
9,"161 SOUTH END RD","1930","137100",2,1,0
10,"157 SOUTH END RD","1900","133600",1,1,0
11,"153 SOUTH END RD",NA,"59300",NA,NA,NA
12,"SOUTH END RD",NA,"211700",NA,NA,NA
13,"107 SOUTH END RD",NA,"63300",NA,NA,NA
14,"101 SOUTH END RD",NA,"55700",NA,NA,NA
15,"95 SOUTH END RD",NA,"59900",NA,NA,NA
16,"SOUTH END RD",NA,"2700",NA,NA,NA
17,"91 SOUTH END RD",NA,"63400",NA,NA,NA
18,"103 SOUTH END RD",NA,"60700",NA,NA,NA
19,"SOUTH END RD",NA,"70200",NA,NA,NA
20,"URIAH ST",NA,"2661800",NA,NA,NA
21,"SOUTH END RD",NA,"359400",NA,NA,NA
22,"SOUTH END RD",NA,"826700",NA,NA,NA
23,"5 DOUGLASS AV","1940","185100",2,1,1
24,"11 DOUGLASS AV","1940","249900",3,2,0
25,"17 DOUGLASS AV","1940","129600",2,1,0
26,"23 DOUGLASS AV","1925","128900",2,1,0
27,"29 DOUGLASS AV","1940","170200",4,1,0
28,"32 URIAH ST",NA,"60100",NA,NA,NA
29,"24 URIAH ST","1975","169100",3,1,0
30,"20 URIAH ST","1969","151500",3,1,0
31,"1 TOWNSEND AV","1930","165600",2,1,0
32,"1 TOWNSEND AV #A","1938","173100",2,1,0
33,"1 TOWNSEND AV #B","1952","203400",3,1,1
34,"9 TOWNSEND AV","1927","183400",3,1,1
35,"17 JOHNSTON ST","1935","166900",3,1,1
36,"30 DOUGLASS AV","1920","151800",3,1,0
37,"24 DOUGLASS AV","1930","188100",3,1,0
38,"20 DOUGLASS AV","1930","183000",3,1,0
39,"3 TOWNSEND AV","1935","275200",5,2,0
40,"3A TOWNSEND AV","1954","160100",3,1,0
41,"5 TOWNSEND AV","1920","165200",1,1,1
42,"7 TOWNSEND AV","1920","196100",3,1,1
43,"MORRIS CSWY",NA,"3306600",NA,NA,NA
44,"URIAH ST",NA,"5978300",NA,NA,NA
45,"MORRIS CSWY",NA,"63100",NA,NA,NA
46,"25 TOWNSEND AV","1976","378500",0,0,NA
47,"19 MORRIS CSWY","1938","180300",2,2,0
48,"25 MORRIS CSWY","1955","189800",3,2,0
49,"31 MORRIS CSWY","1960","176200",2,1,0
50,"39 MORRIS CSWY","1959","155500",3,1,0
51,"43 MORRIS CSWY","1950","159800",3,1,1
52,"49 MORRIS CSWY","2006","2967500",NA,NA,NA
53,"11 TOWNSEND AV","1925","175400",2,1,0
54,"13 TOWNSEND AV","1929","171900",3,1,1
55,"15 TOWNSEND AV","1945","172500",3,1,0
56,"17 TOWNSEND AV","1920","146900",3,1,1
57,"19 TOWNSEND AV","1920","172600",4,2,0
58,"21 TOWNSEND AV","1915","174700",3,2,0
59,"1209 DEAN ST",NA,"5500",NA,NA,NA
60,"1227 DEAN ST",NA,"2700",NA,NA,NA
61,"1237 DEAN ST",NA,"2700",NA,NA,NA
62,"1251 DEAN ST",NA,"2700",NA,NA,NA
63,"DEAN ST",NA,"2700",NA,NA,NA
64,"1271 DEAN ST",NA,"3300",NA,NA,NA
65,"DEAN ST",NA,"1800",NA,NA,NA
66,"1285 DEAN ST",NA,"1800",NA,NA,NA
67,"1305 DEAN ST",NA,"5800",NA,NA,NA
68,"1327 DEAN ST",NA,"5800",NA,NA,NA
69,"191 BURR ST","1930","1601900",0,0,NA
70,"269 BURR ST",NA,"400100",NA,NA,NA
71,"353 BURR ST",NA,"865800",NA,NA,NA
